2016-01-01,0.0000E+00
2016-01-02,0.0000E+00
2016-01-03,0.0000E+00
2016-01-04,0.0000E+00
2016-01-05,0.0000E+00
2016-01-06,0.0000E+00
2016-01-07,0.0000E+00
2016-01-08,0.9035E+01
2016-01-09,0.3609E+01
2016-01-10,0.1155E+00
2016-01-11,0.1471E+00
2016-01-12,0.0000E+00
2016-01-13,0.0000E+00
2016-01-14,0.0000E+00
2016-01-15,0.8978E+01
2016-01-16,0.4161E+00
2016-01-17,0.2852E-02
2016-01-18,0.0000E+00
2016-01-19,0.0000E+00
2016-01-20,0.0000E+00
2016-01-21,0.0000E+00
2016-01-22,0.0000E+00
2016-01-23,0.0000E+00
2016-01-24,0.0000E+00
2016-01-25,0.2036E+00
2016-01-26,0.0000E+00
2016-01-27,0.0000E+00
2016-01-28,0.0000E+00
2016-01-29,0.0000E+00
2016-01-30,0.0000E+00
2016-01-31,0.3112E+00
2016-02-01,0.0000E+00
2016-02-02,0.6236E+01
2016-02-03,0.3438E+00
2016-02-04,0.0000E+00
2016-02-05,0.0000E+00
2016-02-06,0.0000E+00
2016-02-07,0.0000E+00
2016-02-08,0.0000E+00
2016-02-09,0.0000E+00
2016-02-10,0.0000E+00
2016-02-11,0.0000E+00
2016-02-12,0.0000E+00
2016-02-13,0.0000E+00
2016-02-14,0.0000E+00
2016-02-15,0.0000E+00
2016-02-16,0.0000E+00
2016-02-17,0.0000E+00
2016-02-18,0.0000E+00
2016-02-19,0.1586E+00
2016-02-20,0.0000E+00
2016-02-21,0.0000E+00
2016-02-22,0.0000E+00
2016-02-23,0.1949E+01
2016-02-24,0.1299E+01
2016-02-25,0.0000E+00
2016-02-26,0.0000E+00
2016-02-27,0.3268E+02
2016-02-28,0.3441E+01
2016-02-29,0.3475E+00
2016-03-01,0.7826E+00
2016-03-02,0.0000E+00
2016-03-03,0.2964E+00
2016-03-04,0.1470E-01
2016-03-05,0.0000E+00
2016-03-06,0.2206E+02
2016-03-07,0.1549E+01
2016-03-08,0.7616E-01
2016-03-09,0.0000E+00
2016-03-10,0.8182E-01
2016-03-11,0.0000E+00
2016-03-12,0.4475E+00
2016-03-13,0.1724E+01
2016-03-14,0.0000E+00
2016-03-15,0.0000E+00
2016-03-16,0.0000E+00
2016-03-17,0.0000E+00
2016-03-18,0.0000E+00
2016-03-19,0.0000E+00
2016-03-20,0.0000E+00
2016-03-21,0.0000E+00
2016-03-22,0.0000E+00
2016-03-23,0.0000E+00
2016-03-24,0.5198E+01
2016-03-25,0.0000E+00
2016-03-26,0.0000E+00
2016-03-27,0.2667E+01
2016-03-28,0.0000E+00
2016-03-29,0.0000E+00
2016-03-30,0.2560E+01
2016-03-31,0.1569E+01
2016-04-01,0.0000E+00
2016-04-02,0.1032E+00
2016-04-03,0.0000E+00
2016-04-04,0.0000E+00
2016-04-05,0.0000E+00
2016-04-06,0.1508E+01
2016-04-07,0.0000E+00
2016-04-08,0.1455E+01
2016-04-09,0.0000E+00
2016-04-10,0.1834E+01
2016-04-11,0.0000E+00
2016-04-12,0.0000E+00
2016-04-13,0.0000E+00
2016-04-14,0.0000E+00
2016-04-15,0.0000E+00
2016-04-16,0.0000E+00
2016-04-17,0.0000E+00
2016-04-18,0.0000E+00
2016-04-19,0.0000E+00
2016-04-20,0.0000E+00
2016-04-21,0.8550E+00
2016-04-22,0.0000E+00
2016-04-23,0.0000E+00
2016-04-24,0.0000E+00
2016-04-25,0.3150E+01
2016-04-26,0.0000E+00
2016-04-27,0.3324E+00
2016-04-28,0.5675E-02
2016-04-29,0.0000E+00
2016-04-30,0.3598E+01
2016-05-01,0.2368E+01
2016-05-02,0.1537E+00
2016-05-03,0.0000E+00
2016-05-04,0.3168E+00
2016-05-05,0.0000E+00
2016-05-06,0.0000E+00
2016-05-07,0.0000E+00
2016-05-08,0.0000E+00
2016-05-09,0.1305E+00
2016-05-10,0.6040E+00
2016-05-11,0.0000E+00
2016-05-12,0.3989E+01
2016-05-13,0.1727E+01
2016-05-14,0.2543E+00
2016-05-15,0.6082E-01
2016-05-16,0.0000E+00
2016-05-17,0.5073E-01
2016-05-18,0.0000E+00
2016-05-19,0.0000E+00
2016-05-20,0.0000E+00
2016-05-21,0.0000E+00
2016-05-22,0.0000E+00
2016-05-23,0.0000E+00
2016-05-24,0.0000E+00
2016-05-25,0.0000E+00
2016-05-26,0.0000E+00
